series,episode,baker,result,signature
3,8,Danny,IN,Spiced Almond Drinks Crackers
3,8,John,IN,Asian Spice Crackers
3,8,Cathryn,OUT,Cheese and Pickle Crackers
3,8,James,STAR BAKER,"Smoky Cayenne, Cumin and Chilli Crackers"
3,9,Brendan,IN,Coffee Meringue and Hazelnut Creams Apricot and Pistachio Friands Lime Curd Choux Pastry Cygnets
3,9,John,IN,Lemon Madeleines White Chocolate and Raspberry Tartlets Dark Chocolate and Cherry Macarons
3,9,Danny,OUT,Blackberry and Peppermint Macarons Miniature Raspberry and Basil Financiers Orange and White Chocolate Langues de Chat
3,9,James,STAR BAKER,"Lemon and Rhubarb Tartlets Chocolate Indulgence Petits Fours Chilli, Lime and Raspberry Macarons"
3,10,Brendan,Runner-up,Potato and Pepper Pithivier
3,10,James,Runner-up,Spanish Pithivier with Chorizo and Red Pepper
3,10,John,WINNER,Italian Sausage and Roasted Vegetable Pithivier
4,1,Ali,IN,Rose and Pistachio Cake
4,1,Beca,IN,Grapefruit Sandwich Cake
4,1,Christine,IN,"Strawberry, Vanilla and Rosewater Summer Basket"
4,1,Deborah,IN,Pineapple Cake
4,1,Frances,IN,Giant Jam Sandwich
4,1,Glenn,IN,Strawberries and Cream Cake
4,1,Howard,IN,Passion Fruit and Coconut Cake
4,1,Kimberley,IN,Blood Orange Cake
4,1,Lucy,IN,Timperley Early Cake
4,1,Mark,IN,Lemon and Poppy Seed Cake
4,1,Ruby,IN,Rhubarb and Custard Sandwich Cake
4,1,Toby,OUT,Spiced and Iced Carrot Cake
4,1,Robert,STAR BAKER,Pecan and Apple Cake
4,2,Ali,IN,Italian Grissini
4,2,Beca,IN,Fennel and Chilli Breadsticks
4,2,Christine,IN,Mediterranean Breadsticks with Oregano
4,2,Deborah,IN,Fennel & Chilli Breadsticks
4,2,Frances,IN,Giant Matchsticks
4,2,Glenn,IN,Rosemary and Parmesan Grissini
4,2,Howard,IN,Moroccan Breadsticks
4,2,Kimberley,IN,Nigella Seed and Parmesan Breadsticks
4,2,Mark,IN,Rosemary & Raisin Breadsticks
4,2,Robert,IN,Twisty Rye Bread Sticks
4,2,Lucy,OUT,Grissini with Salt
4,2,Ruby,STAR BAKER,Mexican Breadsticks
4,3,Ali,IN,"Coconut, Raspberry and Lemon Meringue Trifle"
4,3,Beca,IN,Orange and Ginger Trifle
4,3,Frances,IN,Apple and Blackberry Crumble Trifle
4,3,Glenn,IN,Raspberry and Almond Trifle
4,3,Howard,IN,Caramel and Apple Trifle*
4,3,Kimberley,IN,"Peach, Almond and Ginger Trifle"
4,3,Robert,IN,Rhubarb and Orange Trifle
4,3,Ruby,IN,Desert Island Trifle
4,3,Deborah,OUT,Tropical Trifle*
4,3,Mark,OUT,"Ginger, Mango and Passion Fruit Trifle"
4,3,Christine,STAR BAKER,Caribbean Pina Colada Trifle
4,4,Beca,IN,Mamgu's Cherry-Apple Tart
4,4,Christine,IN,"Granny Rogers' Apple, Plum & Cinnamon Country Pie"
4,4,Frances,IN,Peach Pie In the Sky
4,4,Glenn,IN,Apple & Maple Syrup Pie
4,4,Howard,IN,Apple Pie with Sage Pastry
4,4,Robert,IN,Apple and Pear Pie with Thyme
4,4,Ruby,IN,Apple and Marzipan Pie
4,4,Ali,OUT,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry
4,4,Kimberley,STAR BAKER,Pecan and Rosemary Caramel Apple Pie
4,5,Beca,IN,"Chocolate, Cherry and Hazelnut Brownies"
4,5,Frances,IN,Millionaire Banoffee Bonus
4,5,Glenn,IN,Apricot and Pistachio Tiffin
4,5,Howard,IN,Breakfast Traybake
4,5,Kimberley,IN,Cherry and Almond Bakewell Florentine Slice
4,5,Ruby,IN,Blackberry and Lemon Bakewell Slice
4,5,Robert,OUT,Blueberry & Orange Traybake
4,5,Christine,STAR BAKER,Mixed Berry and Almond Crumble Traybake
4,6,Beca,IN,Bara Brith
4,6,Christine,IN,Oxford Nutty Fruit Loaf
4,6,Frances,IN,Chai Tea Loaf
4,6,Glenn,IN,Devonshire Panettone
4,6,Kimberley,IN,Chai Spiced Ginger and Date Tea Loaf
4,6,Howard,OUT,Date & Hemp Yorkshire Loaf
4,6,Ruby,STAR BAKER,Citrus Tea Loaf
4,7,Beca,IN,Spring Lamb and Vegetable Suet Pudding with Redcurrant Gravy
4,7,Christine,IN,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream
4,7,Kimberley,IN,Barberry and Apple Spotted Dick with Maple Syrup and White Chocolate Custard
4,7,Ruby,IN,Plum Jam Roly-Poly with Ginger Ice cream
4,7,Glenn,OUT,Prune and Armagnac Pudding with Boozy Butterscotch Sauce
4,7,Frances,STAR BAKER,Figgy Roll-y Poly Pudding with Caramelised Walnut and Honey Ice-Cream
4,8,Beca,IN,"Potato, Spelt and Rosemary Focaccia"
4,8,Frances,IN,'Chelsea Flour Show' Bun Bouquet
4,8,Kimberley,IN,Wild Garlic Pesto and Parma Ham Spelt Loaf
4,8,Christine,OUT,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds"
4,8,Ruby,STAR BAKER,Mango and Nigella Seed Spelt Cob
4,9,Frances,IN,"Légume Canapés
(Chantenay Carrots, Choux Pastry Tomatoes, and Cauliflower Cheese Scones)"
4,9,Ruby,IN,"Beetroot Jelly on Poppy Seed Biscuits Spinach, Parmesan and Egg Tartlets Choux Buns with Goat's Cheese and Caramelised Onions"
4,9,Beca,OUT,Stilton and Walnut Macarons Beetroot and Salmon Choux Puffs Welsh Rarebit Tartlets
4,9,Kimberley,STAR BAKER,Pea Purée Tarts Crab and Wasabi Profiteroles Steamed Buns with Barbecue Chicken
4,10,Kimberley,Runner-up,Chicken and Pig Pie
4,10,Ruby,Runner-up,Picnic Basket Pie
4,10,Frances,WINNER,Rainbow Picnic Pie
5,1,Chetna,IN,"Cardamom, Pistachio and Coffee Swiss Roll"
5,1,Diana,IN,Mum's Sunday Tea Lemon Curd Swiss Roll
5,1,Enwezor,IN,Raspberry and Lemon Swiss Roll
5,1,Iain,IN,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream
5,1,Jordan,IN,Kawaii Frasier Swiss Roll
5,1,Kate,IN,Red Velvet and White Chocolate Swiss Roll
5,1,Luis,IN,Spanish Swiss Roll
5,1,Martha,IN,Tiramisu Swiss Roll
5,1,Norman,IN,Black Forest Swiss Roll
5,1,Richard,IN,Pistachio and Strawberry Swiss Roll
5,1,Claire,OUT,Chocolatey Orangey Swirly Roll
5,1,Nancy,STAR BAKER,Coffee and Hazelnut Swiss Roll
5,2,Chetna,IN,Fenugreek and Carom Crackers
5,2,Diana,IN,Parmesan Triangles
5,2,Iain,IN,Za'atar and Fig Biscuits
5,2,Jordan,IN,"Sourdough, Parmesan and Chilli Biscuits"
5,2,Kate,IN,Parmesan and Apple Biscuits
5,2,Luis,IN,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze
5,2,Martha,IN,Caramelised Onion and Goat's Cheese Sandwich Biscuits
5,2,Nancy,IN,Fennel and Rye Thins
5,2,Norman,IN,Farthing Biscuits
5,2,Enwezor,OUT,Pumpkin and Sunflower Savoury Biscuits
5,2,Richard,STAR BAKER,Rosemary Seeded Crackers
5,3,Chetna,IN,Onion and Pine Nut Rolls
5,3,Diana,IN,Rustic Picnic Rolls
5,3,Iain,IN,Cranberry and Walnut Rye Bread Rolls
5,3,Kate,IN,Orange and Cardamom Rye Bread Knots
5,3,Martha,IN,Date and Walnut Rye Rolls
5,3,Nancy,IN,Cider and Walnut Crusty Rolls
5,3,Norman,IN,Rye Bread Rolls
5,3,Richard,IN,Rye and Cranberry Rolls
5,3,Jordan,OUT,Rye and Spelt Bread Rolls
5,3,Luis,STAR BAKER,Opposites Attract Rolls
5,4,Chetna,IN,"Rhubarb, Strawberry and Orange Puddings"
5,4,Diana,IN,Orange and Lemon Curd Pots
5,4,Kate,IN,Chocolate and Salted Caramel Molten Puddings
5,4,Luis,IN,Pears in Puddings
5,4,Martha,IN,Peanut Butter Chocolate Fondants
5,4,Nancy,IN,Pistachio Puddings with Chocolate Sauce
5,4,Norman,IN,Mini Sticky Toffee Puddings
5,4,Iain,OUT,"Chocolate, Lime and Raspberry Fondants"
5,4,Richard,STAR BAKER,Black Forest Chocolate Fondants
5,5,Chetna,IN,Rice Custard Tart with Mangoes and Raspberries
5,5,Luis,IN,Tropical Manchester Tart
5,5,Martha,IN,"Pistachio, Apricot and Honey Custard Tart"
5,5,Nancy,IN,Chocolate Crusted Passion Fruit Tart
5,5,Richard,IN,Fig and Orange Tart
5,5,Norman,OUT,Tarte au Citron
5,5,Kate,STAR BAKER,Rhubarb and Custard Tart
5,6,Kate,IN,"Pecan, Chocolate and Sour Cherry Yeast Cake"
5,6,Luis,IN,Apple and Cinnamon Kugelhopf with Honeyed Apples
5,6,Martha,IN,Dark Chocolate and Almond Liqueur Savarin
5,6,Nancy,IN,Rum Punch Savarin with Coconut Cream and Tropical Fruits
5,6,Richard,IN,Fruity Guglhupf with an Orange Glaze
5,6,Chetna,STAR BAKER,Orange Savarin with Cinnamon Cream
5,7,Chetna,IN,Crispy Lentil Kachori
5,7,Luis,IN,Childhood Empanadas
5,7,Martha,IN,Mini Beef Wellingtons
5,7,Nancy,IN,Spicy Duck Pasties
5,7,Kate,OUT,Spinach and Paneer Spicy Samosa
5,7,Richard,STAR BAKER,Minted Lamb Pasties
5,8,Chetna,IN,Date and Walnut Swirl Bread
5,8,Luis,IN,Black Forest Cherry Tree
5,8,Nancy,IN,Lincolnshire Plum Braid
5,8,Martha,OUT,Spiced Plum Iced Bread Swirl
5,8,Richard,STAR BAKER,Fruit Swedish Tea Ring
5,9,Luis,IN,Indian Rose Baklava Halwa Baklava Rolls
5,9,Nancy,IN,Coffee and Chocolate Baklava Breakfast Baklava
5,9,Chetna,OUT,Chocolate Orange Baklava Masala Chai Baklava
5,9,Richard,STAR BAKER,Rose and Pistachio Baklava Walnut and Almond Baklava
5,10,Luis,Runner-up,"Apple, Walnut, Raisin and Cheshire Cheese Chaussons Pain au Chocolat Blanc with Raspberries and Cream Cheese"
5,10,Richard,Runner-up,Pear Pain au Chocolat Pain Au Lait
5,10,Nancy,WINNER,Apple and Lemon Kites Raspberry and Almond Croissants
6,1,Alvin,IN,Orange Vanilla and Fig Madeira Cake
6,1,Dorret,IN,Madeira Cake with Candied Lemons
6,1,Flora,IN,Blood Orange Madeira Cake
6,1,Ian,IN,Somewhere West of Madeira Cake
6,1,Mat,IN,Gin and Tonic Madeira Cake
6,1,Nadiya,IN,Orange and Green Cardamom Madeira Cake
6,1,Paul,IN,"Lemon, Ginger and Caraway Seed Madeira Cake"
6,1,Sandy,IN,Madeira Cake with Almond Liqueur and Chopped Apricots
6,1,Tamal,IN,Pistachio and Rose Madeira Cake
6,1,Ugnė,IN,Lemon and Thyme Madeira Cake
6,1,Stu,OUT,Marley Madeira Cake
6,1,Marie,STAR BAKER,Zingy Citrus Madeira Cake
6,2,Alvin,IN,"Jackfruit, Pistachio and Macadamia Biscotti"
6,2,Dorret,IN,Almond and Apricot Biscotti with Amber Sugar Crystals
6,2,Flora,IN,Wedding Biscotti
6,2,Mat,IN,"Pistachio, Cranberry and White Chocolate Biscotti"
6,2,Nadiya,IN,"Coconut, Fennel and Pistachio Biscotti"
6,2,Paul,IN,"Chocolate, Hazelnut and Fig Biscotti"
6,2,Sandy,IN,Chocolate Chunk and Hazelnut Biscotti
6,2,Tamal,IN,"Cinnamon, Maple and Cranberry Biscotti"
6,2,Ugnė,IN,White Wine Biscotti
6,2,Marie,OUT,Biscotti Italiano
6,2,Ian,STAR BAKER,"Orange, Rosemary and Almond Biscotti"
6,3,Alvin,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads"
6,3,Flora,IN,Fig and Hazelnut Rye Breads
6,3,Mat,IN,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads"
6,3,Nadiya,IN,Mexican Bread with Warm Tomato Salsa
6,3,Paul,IN,Cranberry and Orange Sweet Soda Breads
6,3,Sandy,IN,Soda Breads with Smoked Bacon and Onion
6,3,Tamal,IN,"Fig, Cheese and Walnut Breads"
6,3,Ugnė,IN,Chocolate Quick Breads with Salted Caramel Sauce
6,3,Dorret,OUT,Walnut and Stilton Soda Breads
