Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Segment,Category,Segment_Category
142,Pei Wei,200,-25.50%,130,-13.30%,Fast Casual,Asian,Fast Casual & Asian
143,Au Bon Pain,192,-31.50%,143,5.90%,Fast Casual,Sandwich,Fast Casual & Sandwich
144,Pret A Manger,191,-24.50%,77,-18.90%,Fast Casual,Sandwich,Fast Casual & Sandwich
145,Sweetgreen,189,2.30%,119,16.70%,Fast Casual,All Other,Fast Casual & All Other
146,Pizza Ranch,189,-30.10%,210,-0.90%,Quick Service,Pizza,Quick Service & Pizza
147,Newk's Eatery,189,-17.00%,111,-8.30%,Fast Casual,Sandwich,Fast Casual & Sandwich
148,Lazy Dog Restaurant & Bar,188,-12.10%,39,8.30%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
149,Smashburger,187,-26.50%,219,-20.90%,Fast Casual,Burger,Fast Casual & Burger
150,Farmer Boys,187,3.90%,98,5.40%,Fast Casual,Burger,Fast Casual & Burger
151,Uncle Julio's,185,-23.00%,37,2.80%,Casual Dining,Mexican,Casual Dining & Mexican
152,Texas de Brazil Churrascaria,184,-46.50%,51,0.00%,Casual Dining,Steak,Casual Dining & Steak
153,Sbarro,182,-18.30%,300,-3.20%,Quick Service,Pizza,Quick Service & Pizza
154,Rubio's,178,-23.20%,158,-19.80%,Fast Casual,Mexican,Fast Casual & Mexican
155,Chuck E. Cheese's,177,-53.50%,491,-8.60%,Quick Service,Pizza,Quick Service & Pizza
156,Benihana,177,-48.00%,66,-7.00%,Casual Dining,Asian,Casual Dining & Asian
157,Giordano's,177,3.50%,68,0.00%,Casual Dining,Italian,Casual Dining & Italian
158,Chicken Salad Chick,175,14.20%,176,22.20%,Fast Casual,Chicken,Fast Casual & Chicken
159,Fogo de Chao,173,-45.00%,43,0.00%,Casual Dining,Steak,Casual Dining & Steak
160,Dave & Buster's,172,-69.50%,137,2.20%,Casual Dining,Sports Bar,Casual Dining & Sports Bar
161,Seasons 52,170,-33.00%,44,0.00%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
162,Old Chicago Pizza & Taproom,168,-39.00%,80,-26.60%,Casual Dining,Italian,Casual Dining & Italian
163,Fuzzy's Taco Shop,168,-15.00%,140,-4.10%,Fast Casual,Mexican,Fast Casual & Mexican
164,Village Inn,165,-49.00%,137,-25.50%,Midscale,Family Style,Midscale & Family Style
165,Bahama Breeze Island Grille,164,-35.00%,42,-2.30%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
166,Huddle House,162,-32.50%,328,-1.50%,Midscale,Family Style,Midscale & Family Style
167,LaRosa's Pizzeria,162,-1.90%,64,-3.00%,Casual Dining,Italian,Casual Dining & Italian
168,Which Wich,157,-16.00%,327,-8.10%,Fast Casual,Sandwich,Fast Casual & Sandwich
169,Firebirds Wood Fired Grill,155,-19.40%,52,2.00%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
170,True Food Kitchen,155,-18.50%,35,9.40%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
171,Corner Bakery Cafe,154,-56.90%,174,-4.40%,Fast Casual,Sandwich,Fast Casual & Sandwich
172,Walk-On's Sports Bistreaux,152,13.30%,45,36.40%,Casual Dining,Sports Bar,Casual Dining & Sports Bar
173,Uno Pizzeria & Grill,151,-28.50%,86,-9.50%,Casual Dining,Italian,Casual Dining & Italian
174,Lee's Famous Recipe Chicken,150,-7.00%,128,-0.80%,Quick Service,Chicken,Quick Service & Chicken
175,Sonny's BBQ,149,-25.50%,98,-2.00%,Casual Dining,All Other,Casual Dining & All Other
176,Bill Miller Bar-B-Q,149,-13.00%,76,1.30%,Fast Casual,All Other,Fast Casual & All Other
177,Pollo Campero,148,3.40%,79,1.30%,Fast Casual,Chicken,Fast Casual & Chicken
178,Wayback Burgers,146,-8.00%,147,0.00%,Fast Casual,Burger,Fast Casual & Burger
179,Ono Hawaiian BBQ,146,20.70%,96,7.90%,Fast Casual,All Other,Fast Casual & All Other
180,J. Alexander's,145,-25.70%,33,-2.90%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
181,Mission BBQ,144,6.00%,98,8.90%,Fast Casual,All Other,Fast Casual & All Other
182,Pappadeaux Seafood Kitchen,144,-46.50%,39,-2.50%,Casual Dining,Seafood,Casual Dining & Seafood
183,Bar Louie,143,-52.00%,75,-41.40%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
184,Cinnabon,143,-29.20%,942,0.40%,Quick Service,Other Beverage,Quick Service & Other Beverage
185,Taco Bueno,142,-19.00%,130,-10.30%,Fast Casual,Mexican,Fast Casual & Mexican
186,Cook-Out Restaurant,141,10.40%,295,9.30%,Quick Service,Burger,Quick Service & Burger
187,Paris Baguette,141,-8.50%,88,6.00%,Fast Casual,Sandwich,Fast Casual & Sandwich
188,L&L Hawaiian Barbecue,141,-0.10%,207,3.50%,Quick Service,Asian,Quick Service & Asian
189,Jollibee,140,10.90%,46,15.00%,Quick Service,Chicken,Quick Service & Chicken
190,WaBa Grill,136,2.60%,189,-1.00%,Fast Casual,Asian,Fast Casual & Asian
191,Bubba's 33,134,-7.50%,31,10.70%,Casual Dining,Sports Bar,Casual Dining & Sports Bar
192,Great Harvest Bakery Cafe,134,-17.50%,172,-1.10%,Fast Casual,Sandwich,Fast Casual & Sandwich
193,Morton's The Steakhouse,132,-50.50%,59,-6.30%,Fine Dining,Steak,Fine Dining & Steak
194,Tijuana Flats,131,-14.50%,128,-4.50%,Fast Casual,Mexican,Fast Casual & Mexican
195,The Original Pancake House,128,-31.00%,143,0.00%,Midscale,Family Style,Midscale & Family Style
196,54th Street Restaurant & Drafthouse,128,-2.60%,32,3.20%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
197,Menchie's Frozen Yogurt,128,-14.00%,408,-4.40%,Quick Service,Frozen Desserts,Quick Service & Frozen Desserts
198,Friendly's,126,-40.00%,130,-18.80%,Midscale,Family Style,Midscale & Family Style
199,BurgerFi,126,-9.20%,112,0.90%,Fast Casual,Burger,Fast Casual & Burger
