,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods,Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
29865,64524,Fresca Restaurant,737 IRVING St,San Francisco,CA,94122,37.764033,-122.4659,"{'longitude': '-122.4659', 'latitude': '37.764033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155745727.0,64524_20180315,2018-03-15T00:00:00.000,86.0,Routine - Unscheduled,64524_20180315_103133,Foods not protected from contamination,Moderate Risk,12.0,8.0,11.0,1.0,56.0,14.0
29866,1788,EXECUTIVE CAFE,150 EXECUTIVE PARK Blvd 2000,San Francisco,CA,94134,37.711323,-122.393371,"{'longitude': '-122.393371', 'latitude': '37.711323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155532612.0,1788_20190211,2019-02-11T00:00:00.000,92.0,Routine - Unscheduled,1788_20190211_103144,Unapproved or unmaintained equipment or utensils,Low Risk,1.0,3.0,8.0,10.0,58.0,1.0
29890,56,CAFE X + O,1799 Church St,San Francisco,CA,94131,37.742325,-122.426476,"{'longitude': '-122.426476', 'latitude': '37.742325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155823535.0,56_20180327,2018-03-27T00:00:00.000,98.0,Routine - Unscheduled,56_20180327_103156,Permit license or inspection report not posted,Low Risk,22.0,7.0,5.0,2.0,63.0,22.0
29891,4794,VICTOR'S,210 TOWNSEND St,San Francisco,CA,94107,37.778634,-122.393089,"{'longitude': '-122.393089', 'latitude': '37.778634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155607018.0,4794_20181030,2018-10-30T00:00:00.000,71.0,Routine - Unscheduled,4794_20181030_103103,High risk food holding temperature,High Risk,34.0,2.0,9.0,6.0,28856.0,34.0
29898,68773,Nopalito,1224 9th Ave,San Francisco,CA,94122,37.765412,-122.466375,"{'longitude': '-122.466375', 'latitude': '37.765412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155430303.0,68773_20160823,2016-08-23T00:00:00.000,90.0,Routine - Unscheduled,68773_20160823_103154,Unclean or degraded floors walls or ceilings,Low Risk,12.0,8.0,11.0,11.0,56.0,14.0
29902,14971,San Francisco Public Montessori,2340 Jackson St,San Francisco,CA,94115,37.792628,-122.433514,"{'longitude': '-122.433514', 'latitude': '37.792628', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155743768.0,14971_20160919,2016-09-19T00:00:00.000,96.0,Routine - Unscheduled,14971_20160919_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,27.0,9.0,1.0,13.0,29490.0,30.0
29903,6904,BUCHANAN FOOD MART,2135 BUCHANAN St,San Francisco,CA,94115,37.789844,-122.430684,"{'longitude': '-122.430684', 'latitude': '37.789844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155937420.0,6904_20161014,2016-10-14T00:00:00.000,96.0,Routine - Unscheduled,6904_20161014_103138,Improper storage use or identification of toxic substances,Low Risk,27.0,9.0,1.0,13.0,29490.0,30.0
29908,2352,SMILE'S  B.B.Q.,2619 MISSION St,San Francisco,CA,94110,37.755013,-122.418665,"{'longitude': '-122.418665', 'latitude': '37.755013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155281596.0,2352_20180719,2018-07-19T00:00:00.000,90.0,Routine - Unscheduled,2352_20180719_103120,Moderate risk food holding temperature,Moderate Risk,19.0,4.0,7.0,2.0,28859.0,20.0
29927,69282,New Jumbo Seafood Restaurant,1532 NORIEGA St,San Francisco,CA,94122,37.754132,-122.480058,"{'longitude': '-122.480058', 'latitude': '37.754132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155681800.0,69282_20161003,2016-10-03T00:00:00.000,83.0,Routine - Unscheduled,69282_20161003_103103,High risk food holding temperature,High Risk,35.0,8.0,3.0,1.0,56.0,35.0
29935,68773,Nopalito,1224 9th Ave,San Francisco,CA,94122,37.765412,-122.466375,"{'longitude': '-122.466375', 'latitude': '37.765412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155430303.0,68773_20180214,2018-02-14T00:00:00.000,90.0,Routine - Unscheduled,68773_20180214_103154,Unclean or degraded floors walls or ceilings,Low Risk,12.0,8.0,11.0,11.0,56.0,14.0
29943,5180,ST. PAULS SCHOOL,1690 Church St,San Francisco,CA,94131,37.74385,-122.426739,"{'longitude': '-122.426739', 'latitude': '37.74385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155642055.0,5180_20170207,2017-02-07T00:00:00.000,85.0,Routine - Unscheduled,5180_20170207_103103,High risk food holding temperature,High Risk,22.0,7.0,5.0,2.0,63.0,22.0
29961,5859,BURTON HIGH SCHOOL,400 MANSELL St,San Francisco,CA,94134,37.720656,-122.405108,"{'longitude': '-122.405108', 'latitude': '37.720656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155464570.0,5859_20170215,2017-02-15T00:00:00.000,92.0,Routine - Unscheduled,5859_20170215_103147,Inadequate ventilation or lighting,Low Risk,28.0,3.0,7.0,10.0,309.0,25.0
29974,61736,Rosamunde Sausage Grill,2832 MISSION St,San Francisco,CA,94110,37.751587,-122.418444,"{'longitude': '-122.418444', 'latitude': '37.751587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155307170.0,61736_20170713,2017-07-13T00:00:00.000,86.0,Routine - Unscheduled,61736_20170713_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,19.0,4.0,7.0,2.0,28859.0,20.0
