Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,City,San Diego,Public Utilities,Administrative Aide I,False,False,,41038,49421,,34758,0,0,12607,47365,0,0,3772,6497,10269,N/A,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Public Utilities,Utility Worker I,False,False,,33883,40269,,37742,5622,22,3967,47353,4119,0,2716,7100,13935,2.5% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Environmental Services,Clerical Assistant II,False,False,,33197,40019,,40008,447,0,6891,47346,5288,0,2447,8495,16230,2.5% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Parks & Recreation,Equipment Technician II,False,False,,43846,52270,,36994,1411,2664,6276,47345,5455,0,2864,13683,22002,2.5% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,City Treasurer,Administrative Aide I,False,False,,41038,49421,,40145,6735,0,457,47337,0,0,4366,21950,26316,N/A,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Transportation,Utility Worker I,False,False,,33883,40269,,39422,2968,1862,3073,47325,0,0,3880,8183,12063,2.5% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Fleet Operations,Stock Clerk,False,False,,33363,40248,,35969,3371,0,7980,47320,0,0,3804,5632,9436,N/A,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Risk Management,Clerical Assistant II,False,False,,33197,40019,,36007,14,0,11297,47318,5233,0,2179,408,7820,2.5% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Department Of Finance,Account Audit Clerk,False,False,,36754,44200,,42506,163,0,4643,47312,0,0,3901,6563,10464,2.5% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Public Utilities,Administrative Aide I,False,False,,41038,49421,,36746,11,389,10165,47311,2812,0,371,816,3999,1.0% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
